country,country_iso2,document_type,title,year,document_url,source_filename,path_pdf,path_md,sha256,md5,size_bytes,page_count,ocr_reader
,,Law,Law of National Languages - 2003,2003,https://media.unesco.org/sites/default/files/webform/r2e002/1fb359b9164c690e1547dc8a0d591a933a221389.pdf,1fb359b9164c690e1547dc8a0d591a933a221389.pdf,documents/_unknown-country/r2e002/1fb359b9164c690e1547dc8a0d591a933a221389/document.pdf,documents/_unknown-country/r2e002/1fb359b9164c690e1547dc8a0d591a933a221389/document.md,f46da101dd0a07c9d3695df6690c18b3e6d42d9cda7fb49cd2745604619ae83a,9128bd5c37286ecdee43d38bdcb2aed4,1317601,5,reducto
,,Programme/plan,Plan d'action nationale de l'Education pour tous - 2007,2007,https://media.unesco.org/sites/default/files/webform/r2e002/326a728086d89e39149a2582b78744a968cf48de.pdf,326a728086d89e39149a2582b78744a968cf48de.pdf,documents/_unknown-country/r2e002/326a728086d89e39149a2582b78744a968cf48de/document.pdf,documents/_unknown-country/r2e002/326a728086d89e39149a2582b78744a968cf48de/document.md,a6eb8323270342e96fd0b6ad0e5b62b6c52aaeaac2ca921f907bad4682873836,69486544d856d933a04e36785f1b7f21,7248629,117,llamaparse
,,Law,Law of Education - 2008,2008,https://media.unesco.org/sites/default/files/webform/r2e002/58baed0210eec2bac6760c53f1316bfa470a2e99.pdf,58baed0210eec2bac6760c53f1316bfa470a2e99.pdf,documents/_unknown-country/r2e002/58baed0210eec2bac6760c53f1316bfa470a2e99/document.pdf,documents/_unknown-country/r2e002/58baed0210eec2bac6760c53f1316bfa470a2e99/document.md,f978bab37f278634f0ec184d7bd3a30468db52718322f703c58d393ab1d0e17b,ae12a24a10dda61c4f327b627199148e,13511367,60,reducto
,,Law,The Education and Training of Children with Special Needs Law - 1999,1999,https://media.unesco.org/sites/default/files/webform/r2e002/85f986e6f48551f0d7e86d81774cdbdd98c9cb45.pdf,85f986e6f48551f0d7e86d81774cdbdd98c9cb45.pdf,documents/_unknown-country/r2e002/85f986e6f48551f0d7e86d81774cdbdd98c9cb45/document.pdf,documents/_unknown-country/r2e002/85f986e6f48551f0d7e86d81774cdbdd98c9cb45/document.md,921110e534cfd5487778b56e15f80e33b224d647a1680060ed796dbb96c9355c,76bda5645e64b60692f688df45985bee,1891776,30,llamaparse
,,Law,Loi portant orientation de l'Education nationale en République du Bénin - 2003,2003,https://media.unesco.org/sites/default/files/webform/r2e002/e706393706bef7affd68cf7b2a46f1c8ab601d14.pdf,e706393706bef7affd68cf7b2a46f1c8ab601d14.pdf,documents/_unknown-country/r2e002/e706393706bef7affd68cf7b2a46f1c8ab601d14/document.pdf,documents/_unknown-country/r2e002/e706393706bef7affd68cf7b2a46f1c8ab601d14/document.md,ca15a0deca70645d5ed7a6d1c3a38d5343c3390cf3223755ebb83b32dcb89378,0e4bae5704a3c5cd369d79560a2bc64a,574412,12,unstructured
Afghanistan,AF,Programme/plan,Policy Guidelines for Community-Based Education 2012,2012,https://media.unesco.org/sites/default/files/webform/r2e002/1b4f5b9e04664bdeec52861ccdf89c096283bc41.pdf,1b4f5b9e04664bdeec52861ccdf89c096283bc41.pdf,documents/afghanistan/r2e002/1b4f5b9e04664bdeec52861ccdf89c096283bc41/document.pdf,documents/afghanistan/r2e002/1b4f5b9e04664bdeec52861ccdf89c096283bc41/document.md,967c7ad15248e5ff245e5a802d929e4f7ca30c5acd22e3fc2a963f3bca7192cc,8365862fedcc9b1c10855bb77dfa37bc,2344691,26,unstructured
Albania,AL,Law,Law on Vocational Education and Training - 2002,2002,https://media.unesco.org/sites/default/files/webform/r2e002/0631c59ee5ee998799fdc011ffa87e33aa081dda.pdf,0631c59ee5ee998799fdc011ffa87e33aa081dda.pdf,documents/albania/r2e002/0631c59ee5ee998799fdc011ffa87e33aa081dda/document.pdf,documents/albania/r2e002/0631c59ee5ee998799fdc011ffa87e33aa081dda/document.md,3f8bf9d2cdb6900ab2995bd7c3e885b67f32998da8440c7326dd5f7a2a56ad2c,e13b2b8c598d2017b4d0dae057b61c67,149166,14,docling+structure-repair
Albania,AL,Law,Higher Education Law,nan,https://media.unesco.org/sites/default/files/webform/r2e002/6cebc7412d59723c9a8d3268b3ab37e0d49ce3eb.pdf,6cebc7412d59723c9a8d3268b3ab37e0d49ce3eb.pdf,documents/albania/r2e002/6cebc7412d59723c9a8d3268b3ab37e0d49ce3eb/document.pdf,documents/albania/r2e002/6cebc7412d59723c9a8d3268b3ab37e0d49ce3eb/document.md,e32a1eaf9213299b996c964af9291ae646a92242a31145d4fc9ce74982a3410e,91fbd77d3ecd49738adc70e56455a696,381616,49,docling+structure-repair
Albania,AL,Constitution,Constitution of Albania - 1998 (as amended in 2012),2012,https://media.unesco.org/sites/default/files/webform/r2e002/93f56fca05a834fd2d93a5f50f0416979c35a083.pdf,93f56fca05a834fd2d93a5f50f0416979c35a083.pdf,documents/albania/r2e002/93f56fca05a834fd2d93a5f50f0416979c35a083/document.pdf,documents/albania/r2e002/93f56fca05a834fd2d93a5f50f0416979c35a083/document.md,cd317898679d5814401d3a37d6033c91127b76022765f0ceb3fb0a06ebcb1ed4,27657796312890f2eac0e0643dae1a56,265512,29,docling+structure-repair
Albania,AL,Law,Law on pre-university education,nan,https://media.unesco.org/sites/default/files/webform/r2e002/96e815865a589a8c29805e2a03be245917210a9d.pdf,96e815865a589a8c29805e2a03be245917210a9d.pdf,documents/albania/r2e002/96e815865a589a8c29805e2a03be245917210a9d/document.pdf,documents/albania/r2e002/96e815865a589a8c29805e2a03be245917210a9d/document.md,bc334740a1b7b47e2c2e642148b37aec9db7bae9fdd968c34a65a7b7b79973df,02a8c7b55cc97ebac3a84a90b8f74741,303366,25,docling+structure-repair
Algeria,DZ,Decree,Décret présidentiel n° 96-101 du 11 mars 1996 portant création du conseil supérieur de l'éducation,1996,https://media.unesco.org/sites/default/files/webform/r2e002/2f1c457f1441ff93301ecd99ef936fb2297e7b70.pdf,2f1c457f1441ff93301ecd99ef936fb2297e7b70.pdf,documents/algeria/r2e002/2f1c457f1441ff93301ecd99ef936fb2297e7b70/document.pdf,documents/algeria/r2e002/2f1c457f1441ff93301ecd99ef936fb2297e7b70/document.md,525eac071f43d834e1cf3acb978fb7654fd3a7e07fb6f6cd9ef8f801d74724e0,4ca49b29f20b50b111728c22a43b80f3,806564,5,unstructured
Algeria,DZ,Law,Loi n° 08-06 modifiant et complétant la loi n° 99-05 portant loi d'orientation sur l'enseignement supérieur,nan,https://media.unesco.org/sites/default/files/webform/r2e002/367ba48c3211a1d7f9d9cff04a1d4ed35639cd38.pdf,367ba48c3211a1d7f9d9cff04a1d4ed35639cd38.pdf,documents/algeria/r2e002/367ba48c3211a1d7f9d9cff04a1d4ed35639cd38/document.pdf,documents/algeria/r2e002/367ba48c3211a1d7f9d9cff04a1d4ed35639cd38/document.md,86431e0e95f57b5aef331090c9812502e45e58db9837633c27aeecbc349efceb,4eb5c71ccbd1edbc1a0977f81c7344f2,84379,5,docling+structure-repair
Algeria,DZ,Law,Loi d'orientation sur l'enseignement supérieur - 1999,1999,https://media.unesco.org/sites/default/files/webform/r2e002/55b7780daa192725f8a06eae848b197aa7af731d.pdf,55b7780daa192725f8a06eae848b197aa7af731d.pdf,documents/algeria/r2e002/55b7780daa192725f8a06eae848b197aa7af731d/document.pdf,documents/algeria/r2e002/55b7780daa192725f8a06eae848b197aa7af731d/document.md,56164f15ba91447dbe35ccf9526067c2a8f6d5c36c91f747ef700f667d8f9ea3,2cde48bfff3b99d6c18e4af5d5adfa34,109908,21,docling+structure-repair
Algeria,DZ,Decree,Décret exécutif n° 94-254 du 6 septembre 1994 fixant les attributions du Ministère de l'éducation nationale,1994,https://media.unesco.org/sites/default/files/webform/r2e002/5ab0225d16dc7b505335c96786cbf18c3ecec602.pdf,5ab0225d16dc7b505335c96786cbf18c3ecec602.pdf,documents/algeria/r2e002/5ab0225d16dc7b505335c96786cbf18c3ecec602/document.pdf,documents/algeria/r2e002/5ab0225d16dc7b505335c96786cbf18c3ecec602/document.md,1e310c936ff6ebaca0839790363c38857707204c6c34efd3ae438576d3c6de8e,ae7170248f9c1355ef548bd2bcc4e25a,491925,3,unstructured
Algeria,DZ,Decree,Décret exécutif n° 92-243 du 9 juin 1992 portant création d'un centre national de documentation pédagogique,1992,https://media.unesco.org/sites/default/files/webform/r2e002/72c374f28300caf9a2e4888637f0d0bf488dffed.pdf,72c374f28300caf9a2e4888637f0d0bf488dffed.pdf,documents/algeria/r2e002/72c374f28300caf9a2e4888637f0d0bf488dffed/document.pdf,documents/algeria/r2e002/72c374f28300caf9a2e4888637f0d0bf488dffed/document.md,764dcb6a227c6816bd892f6012974a0b3b21b08616b92ebd53b64653dc31379c,991b7dad7162df4fa3d1916c217c5a6a,672134,4,unstructured
Algeria,DZ,Decree,"Décret exécutif n° 98-254 du 17 août 1998 relatif à la formation doctorale, à la post-graduation spécialisée et à l'habilitation universitaire",1998,https://media.unesco.org/sites/default/files/webform/r2e002/a98ec4c379e7f72832bfc72bcdc721204dd37503.pdf,a98ec4c379e7f72832bfc72bcdc721204dd37503.pdf,documents/algeria/r2e002/a98ec4c379e7f72832bfc72bcdc721204dd37503/document.pdf,documents/algeria/r2e002/a98ec4c379e7f72832bfc72bcdc721204dd37503/document.md,0ada217372e0c5282ab110d9975e540617874799d3763f1cec0795f538964e00,6a343ccad9a2da4647f3fe4541df233f,2983678,13,llamaparse
Algeria,DZ,Decree,Décret exécutif n° 90-11 du 1er janvier 1990 portant création de l'ONPS,1990,https://media.unesco.org/sites/default/files/webform/r2e002/d3e3e80733f134970b4d5f3ede63afe3488a8cd9.pdf,d3e3e80733f134970b4d5f3ede63afe3488a8cd9.pdf,documents/algeria/r2e002/d3e3e80733f134970b4d5f3ede63afe3488a8cd9/document.pdf,documents/algeria/r2e002/d3e3e80733f134970b4d5f3ede63afe3488a8cd9/document.md,9c403becf151201cf7ee9e82302826f26873d11fca484a8f693a44ad33ccc8de,89ec96a571888992b750d51b49bf315b,577332,4,llamaparse
Algeria,DZ,Decree,"Decret n° 09-89 modifiant le décret n° 98-254 relatif à la formation doctorale, à la post graduation spécialisée et à l'habilitation universitaire",,https://media.unesco.org/sites/default/files/webform/r2e002/e9a765c57f488c9474c254ec448d0308b967f999.pdf,e9a765c57f488c9474c254ec448d0308b967f999.pdf,documents/algeria/r2e002/e9a765c57f488c9474c254ec448d0308b967f999/document.pdf,documents/algeria/r2e002/e9a765c57f488c9474c254ec448d0308b967f999/document.md,f708394a57ed924f44adc80b802a5fd64336843847c3964d20ec2958c4b18d8b,be89f5d060601834423ef3cf1b25ecd2,979890,1,llamaparse
Algeria,DZ,Constitution,Constitution de la République algérienne démocratique et populaire - 1996,1996,https://media.unesco.org/sites/default/files/webform/r2e002/f3dc6431d3531afa13a3dbeaed91b0517bc53027_0.pdf,f3dc6431d3531afa13a3dbeaed91b0517bc53027_0.pdf,documents/algeria/r2e002/f3dc6431d3531afa13a3dbeaed91b0517bc53027-0/document.pdf,documents/algeria/r2e002/f3dc6431d3531afa13a3dbeaed91b0517bc53027-0/document.md,bf804a48ed6b77280f380e52964b395c648f5bb39e1598b609136c3d4be45711,2ae7ddead4440785b0a4b815cd7d8802,233612,24,docling+structure-repair
Algeria,DZ,Decree,Décret exécutif n° 89-94 du 20 juin 1989 portant création d'un office national des examens et concours,1989,https://media.unesco.org/sites/default/files/webform/r2e002/f569f3b4d52224ff8b5d55ba05d5622b407e5a3c.pdf,f569f3b4d52224ff8b5d55ba05d5622b407e5a3c.pdf,documents/algeria/r2e002/f569f3b4d52224ff8b5d55ba05d5622b407e5a3c/document.pdf,documents/algeria/r2e002/f569f3b4d52224ff8b5d55ba05d5622b407e5a3c/document.md,1abeca65d01521962a9a4fb83fecc057b9914a5e527ef330f3aca8df4dac59d6,acf3e871cdb057622def8d0d16df79a5,626686,4,llamaparse
Algeria,DZ,Decree,Décret n° 76-66 du 16 avril 1976 relatif au caractère obligatoire de l'enseignement fondamental,1976,https://media.unesco.org/sites/default/files/webform/r2e002/f64a052f3928fe61c6e54f53087378e011ea951b.pdf,f64a052f3928fe61c6e54f53087378e011ea951b.pdf,documents/algeria/r2e002/f64a052f3928fe61c6e54f53087378e011ea951b/document.pdf,documents/algeria/r2e002/f64a052f3928fe61c6e54f53087378e011ea951b/document.md,0aec647c22966443de4cdcdd585cc19ed2c153acd8dda5e2dada8edc402300c3,924855d08fd9a7be807ac486e5655773,182875,1,unstructured
Andorra,AD,Programme/plan,Adoption du Protocole d'action pour les cas denfants en danger - 2005,2005,https://media.unesco.org/sites/default/files/webform/r2e002/17ea51acd920e281b3bb42dcdc4dcfef4e4f9ca9.pdf,17ea51acd920e281b3bb42dcdc4dcfef4e4f9ca9.pdf,documents/andorra/r2e002/17ea51acd920e281b3bb42dcdc4dcfef4e4f9ca9/document.pdf,documents/andorra/r2e002/17ea51acd920e281b3bb42dcdc4dcfef4e4f9ca9/document.md,012b2dd5f61798f63d98ac9c22b969d27cc90d3f17bed5abc72071a39dea3a57,b6547ff446c63e7ec77a0a049493bfef,461413,19,docling+structure-repair
Andorra,AD,Consultations,National Report submitted for the 7th Consultation on the 1974 Recommendation,1974,https://media.unesco.org/sites/default/files/webform/r2e002/andorra_for_publication.pdf,andorra_for_publication.pdf,documents/andorra/r2e002/andorra-for-publication/document.pdf,documents/andorra/r2e002/andorra-for-publication/document.md,e008d7fbd627c61dcaf71d40caab9f28b83827ad0447bdb8d0cb73a9ccdc3711,86ec0aa518330ef6a0d58a103decea54,629470,35,docling+structure-repair
Andorra,AD,Consultations,National Report submitted for the 10th Consultation on the 1960 Convention and Recommendation,1960,https://media.unesco.org/sites/default/files/webform/r2e002/andorre-rapport-national-convention-1960_0.pdf,andorre-rapport-national-convention-1960_0.pdf,documents/andorra/r2e002/andorre-rapport-national-convention-1960-0/document.pdf,documents/andorra/r2e002/andorre-rapport-national-convention-1960-0/document.md,40e10cdbf1385f0dbce7837491bd103503631cf4521a7710b330039584c1bef3,fd718413edf1f7c721f7687c5ccd6577,417112,39,docling+structure-repair
Andorra,AD,Constitution,Constitution of the Principality of Andorra - 1993,1993,https://media.unesco.org/sites/default/files/webform/r2e002/bf96cd1fac7d90a9965a9862722d3c8588ec7e07.pdf,bf96cd1fac7d90a9965a9862722d3c8588ec7e07.pdf,documents/andorra/r2e002/bf96cd1fac7d90a9965a9862722d3c8588ec7e07/document.pdf,documents/andorra/r2e002/bf96cd1fac7d90a9965a9862722d3c8588ec7e07/document.md,1df05c910016c8cbae619d571c8f60b69082131923121f84af42af8543cbbe67,8d8924082fe77e40ac6db885b1d5e0a8,394037,56,docling+structure-repair
Andorra,AD,Constitution,Constitution d'Andorre - 1993,1993,https://media.unesco.org/sites/default/files/webform/r2e002/ff3944ce131502cd4a2b314a12a24d36f09b4834.pdf,ff3944ce131502cd4a2b314a12a24d36f09b4834.pdf,documents/andorra/r2e002/ff3944ce131502cd4a2b314a12a24d36f09b4834/document.pdf,documents/andorra/r2e002/ff3944ce131502cd4a2b314a12a24d36f09b4834/document.md,66405582bb85578b8f515c05fbb134b5105bcdcd90a3750ef7c06e72f1d57d0f,105476c1478b7397f44408c4c435f5ff,405777,56,docling+structure-repair
Angola,AO,Law,Basic Law of the Education System -2001,2001,https://media.unesco.org/sites/default/files/webform/r2e002/ab5edaf60f92b4f7e925745f909ae6a6b62bf559.pdf,ab5edaf60f92b4f7e925745f909ae6a6b62bf559.pdf,documents/angola/r2e002/ab5edaf60f92b4f7e925745f909ae6a6b62bf559/document.pdf,documents/angola/r2e002/ab5edaf60f92b4f7e925745f909ae6a6b62bf559/document.md,1d0f59e4b1fe05f17496f7baf12144100aff7cf504fbe753183e68c1b3f52357,5ee1afbac502cb392f0b62e65ae86c28,157370,25,docling+structure-repair
Angola,AO,Law,basic law on education 2016,2016,https://media.unesco.org/sites/default/files/webform/r2e002/fb644c6b901e6f259dd4b4f1043b3bcf4690fd17.pdf,fb644c6b901e6f259dd4b4f1043b3bcf4690fd17.pdf,documents/angola/r2e002/fb644c6b901e6f259dd4b4f1043b3bcf4690fd17/document.pdf,documents/angola/r2e002/fb644c6b901e6f259dd4b4f1043b3bcf4690fd17/document.md,ef7bf9652492a83962e61fbf454404bde9f4ff4b5c044bdbc10e81540e1aa1f1,b33fcc23531ab09c6b43ccd2a9bc6123,7211573,22,unstructured
Antigua and Barbuda,AG,Law,The Antigua and Barbuda Institute of Continuing Education Act - 2008,2008,https://media.unesco.org/sites/default/files/webform/r2e002/7b9fbd50e4d113cf2c73406f5530fe0c4879f7f5.pdf,7b9fbd50e4d113cf2c73406f5530fe0c4879f7f5.pdf,documents/antigua-and-barbuda/r2e002/7b9fbd50e4d113cf2c73406f5530fe0c4879f7f5/document.pdf,documents/antigua-and-barbuda/r2e002/7b9fbd50e4d113cf2c73406f5530fe0c4879f7f5/document.md,29188261a16dc4e21e56139b4aafd09406aeb9126fc56b49dde897cd35fe470c,bf8a36956ebfd9890eb23b5841efd843,139227,14,docling+structure-repair
Antigua and Barbuda,AG,Law,Act No. 11 to establish a Board of Education - 1994,1994,https://media.unesco.org/sites/default/files/webform/r2e002/8ea0ad0312d076d4a58e814877e933266acde2a6.pdf,8ea0ad0312d076d4a58e814877e933266acde2a6.pdf,documents/antigua-and-barbuda/r2e002/8ea0ad0312d076d4a58e814877e933266acde2a6/document.pdf,documents/antigua-and-barbuda/r2e002/8ea0ad0312d076d4a58e814877e933266acde2a6/document.md,7c18ff940e9aa189ed0394ba18a566b6448bc074288a54d14a901f70dd44e50f,9b59dad4966d778d2529a3532a879f01,105331,9,docling+structure-repair
Antigua and Barbuda,AG,Law,Education Act - 1973,1973,https://media.unesco.org/sites/default/files/webform/r2e002/a6408f97a8b942e9456d42b792313f5d9d9f9510.pdf,a6408f97a8b942e9456d42b792313f5d9d9f9510.pdf,documents/antigua-and-barbuda/r2e002/a6408f97a8b942e9456d42b792313f5d9d9f9510/document.pdf,documents/antigua-and-barbuda/r2e002/a6408f97a8b942e9456d42b792313f5d9d9f9510/document.md,c5d56edf3092a764d644dabdb4c96f02ffa8419446db6054e08ebf5fd6364785,e115d7c6e88646990892a8a00bca30f7,76569,26,docling+structure-repair
Antigua and Barbuda,AG,Programme/plan,ICT in Education Policy for Antigua and Barbuda - 2013,2013,https://media.unesco.org/sites/default/files/webform/r2e002/ac05543600c0a8d3ee578cd435bd4e8b440e1f6a.pdf,ac05543600c0a8d3ee578cd435bd4e8b440e1f6a.pdf,documents/antigua-and-barbuda/r2e002/ac05543600c0a8d3ee578cd435bd4e8b440e1f6a/document.pdf,documents/antigua-and-barbuda/r2e002/ac05543600c0a8d3ee578cd435bd4e8b440e1f6a/document.md,bc4c2d405c9a2f22c9afbb96e620da5633340cfdefe4fdd300bf09b1e8dcf374,619da2a7e5db3e94b44fd501ef2629b1,291607,22,docling+structure-repair
Argentina,AR,Law,Law on Higher Education - 1995,1995,https://media.unesco.org/sites/default/files/webform/r2e002/56c92bceec75b33ff3ea8a0e9b1e8c64dbcd7e00.pdf,56c92bceec75b33ff3ea8a0e9b1e8c64dbcd7e00.pdf,documents/argentina/r2e002/56c92bceec75b33ff3ea8a0e9b1e8c64dbcd7e00/document.pdf,documents/argentina/r2e002/56c92bceec75b33ff3ea8a0e9b1e8c64dbcd7e00/document.md,c3c0cf2317e8fbb9d1808e53eec90216b8c27a3dc0f07bc9a56220be7bba764f,4d8ed2e88fac1428bdfe5ee42cddec52,196150,35,docling+structure-repair
Argentina,AR,Law,Law No. 26 061 on the Integral Protection of the Rights of Children and Adolescents - 2005,2005,https://media.unesco.org/sites/default/files/webform/r2e002/654b92c11ced2b5709bc927dced50492e986fe44.pdf,654b92c11ced2b5709bc927dced50492e986fe44.pdf,documents/argentina/r2e002/654b92c11ced2b5709bc927dced50492e986fe44/document.pdf,documents/argentina/r2e002/654b92c11ced2b5709bc927dced50492e986fe44/document.md,23918d36610f6635462018d658c043d92ba58b09a4072b3fb2b9f978fb89bd4c,82f5bf353c74e67c47d0602709aaf30c,170778,19,docling+structure-repair
Argentina,AR,Decree,Resolución CFE 155/11 - 2011,2011,https://media.unesco.org/sites/default/files/webform/r2e002/890b866dc1b1df9c5984e5864f4fb7830dabaf10.pdf,890b866dc1b1df9c5984e5864f4fb7830dabaf10.pdf,documents/argentina/r2e002/890b866dc1b1df9c5984e5864f4fb7830dabaf10/document.pdf,documents/argentina/r2e002/890b866dc1b1df9c5984e5864f4fb7830dabaf10/document.md,39468bd9dcebf91e220d4ea8a5899286ad757ee60f313029fc62c66ec6b896eb,fb292fbd6a31dcb5870663cc3efff757,163285,17,docling+structure-repair
Argentina,AR,Consultations,National Report submitted for the 10th Consultation on the 1960 Convention and Recommendation,1960,https://media.unesco.org/sites/default/files/webform/r2e002/argentina-consulta-recomendacion-1960-2020_0.pdf,argentina-consulta-recomendacion-1960-2020_0.pdf,documents/argentina/r2e002/argentina-consulta-recomendacion-1960-2020-0/document.pdf,documents/argentina/r2e002/argentina-consulta-recomendacion-1960-2020-0/document.md,dbff66314fddab018739c7a8130d2f17344c0483e1d78a5d1ab803319e7313a5,8371f79869a25b0f813de4efbe682218,464341,39,docling+structure-repair
Armenia,AM,Consultations,National Report submitted for the 7th Consultation on the 1974 Recommendation,1974,https://media.unesco.org/sites/default/files/webform/r2e002/armenia_for_publication.pdf,armenia_for_publication.pdf,documents/armenia/r2e002/armenia-for-publication/document.pdf,documents/armenia/r2e002/armenia-for-publication/document.md,05fa6fe7dc19f8ed97d3b634de739f524dec5e14f40f2f45f1100fa796e71780,f4daeb0966e678cc4edadd176abc50b0,557285,36,docling+structure-repair
Armenia,AM,Law,Law of Armenia on General Education,nan,https://media.unesco.org/sites/default/files/webform/r2e002/d1ca216926a582291d45a58a4d968cd647c1a07f.pdf,d1ca216926a582291d45a58a4d968cd647c1a07f.pdf,documents/armenia/r2e002/d1ca216926a582291d45a58a4d968cd647c1a07f/document.pdf,documents/armenia/r2e002/d1ca216926a582291d45a58a4d968cd647c1a07f/document.md,179256f22b1886dc8cdd91c620570a2d8696e6a27a31d884ea35bf8283006e45,9c962743b5acaa6dff5ee0d9f5b92219,143088,58,docling+structure-repair
Aruba,AW,Constitution,Constitution of,nan,https://media.unesco.org/sites/default/files/webform/r2e002/59f2293f7c9cc0d8ee760a5d70fcf82419ba585f.pdf,59f2293f7c9cc0d8ee760a5d70fcf82419ba585f.pdf,documents/aruba/r2e002/59f2293f7c9cc0d8ee760a5d70fcf82419ba585f/document.pdf,documents/aruba/r2e002/59f2293f7c9cc0d8ee760a5d70fcf82419ba585f/document.md,3e8d6be43333c32098cb66c052d50f2961f6bbecda4e54986b0b595628b1b52e,1c920cc0b3489686730b41e7f1db35cc,111008,27,docling+structure-repair
Australia,AU,Law,Amended Racial Discrimination Act - 1975,1975,https://media.unesco.org/sites/default/files/webform/r2e002/0cdf307eff07ab3ed36e5adbe48c3233d4b81cbc.pdf,0cdf307eff07ab3ed36e5adbe48c3233d4b81cbc.pdf,documents/australia/r2e002/0cdf307eff07ab3ed36e5adbe48c3233d4b81cbc/document.pdf,documents/australia/r2e002/0cdf307eff07ab3ed36e5adbe48c3233d4b81cbc/document.md,0a9a5f8c0fb473c986907419aebbd8fcaaa28a77fc477fe55f9d8b867955cbe6,ec5a4fdc9c157b582d215c2f9610e103,620963,59,docling+structure-repair
Australia,AU,Constitution,Australian Constitution of 1977,1977,https://media.unesco.org/sites/default/files/webform/r2e002/28070899dc133e28090f13638757a104f6eef03e.pdf,28070899dc133e28090f13638757a104f6eef03e.pdf,documents/australia/r2e002/28070899dc133e28090f13638757a104f6eef03e/document.pdf,documents/australia/r2e002/28070899dc133e28090f13638757a104f6eef03e/document.md,438a75240cb43758b643ea6b17795e85b64f20ea727479d11a890e18252882b4,6f2a147b24438fe6af4f28ab1446f2c7,664999,44,docling+structure-repair
Australia,AU,Consultations,National Report submitted for the 7th Consultation on the 1974 Recommendation,1974,https://media.unesco.org/sites/default/files/webform/r2e002/australia_for_publication.pdf,australia_for_publication.pdf,documents/australia/r2e002/australia-for-publication/document.pdf,documents/australia/r2e002/australia-for-publication/document.md,06251202c679aab5e2ef8e1aac5d6b15f9cb6e6a31ac5d56260ecbf84353c10e,fd21a495c927824f3e057ecb11549643,394339,22,docling+structure-repair
Austria,AT,Law,Act on the Teaching Assignment of Federal Teachers - 1968,1968,https://media.unesco.org/sites/default/files/webform/r2e002/04700f5201eee574c94679153bd99e366572fb8f.pdf,04700f5201eee574c94679153bd99e366572fb8f.pdf,documents/austria/r2e002/04700f5201eee574c94679153bd99e366572fb8f/document.pdf,documents/austria/r2e002/04700f5201eee574c94679153bd99e366572fb8f/document.md,3809d333fd37b1195f91b38894f93d4647988fb3efe153054258917beb695a1e,746243bc5d24938eb97fc7f1fd433a03,345264,35,docling+structure-repair
Austria,AT,Law,School Education Act for Working Adults - 1997,1997,https://media.unesco.org/sites/default/files/webform/r2e002/0b1a7c9a736e747aebbaeb018dda26764a9972f4.pdf,0b1a7c9a736e747aebbaeb018dda26764a9972f4.pdf,documents/austria/r2e002/0b1a7c9a736e747aebbaeb018dda26764a9972f4/document.pdf,documents/austria/r2e002/0b1a7c9a736e747aebbaeb018dda26764a9972f4/document.md,8373dd16eb13e9a8b813d3833467d8fb69ce205eb64aa3a231807b787ee43eca,f7063186e2eed8a2f3a796865da362cb,375750,26,docling+structure-repair
Austria,AT,Law,BIFIE Act - 2008,2008,https://media.unesco.org/sites/default/files/webform/r2e002/1761fb94f0849850bed00c6d8c789a2e1c688cca.pdf,1761fb94f0849850bed00c6d8c789a2e1c688cca.pdf,documents/austria/r2e002/1761fb94f0849850bed00c6d8c789a2e1c688cca/document.pdf,documents/austria/r2e002/1761fb94f0849850bed00c6d8c789a2e1c688cca/document.md,e60395483446102d68a2171b8fa40011e9982c2381d522911ab65ff46f2c5e23,cdac4e291fcb61499423d06ea2c14cf8,186061,11,docling+structure-repair
Austria,AT,Law,School Inspection Act - 1966,1966,https://media.unesco.org/sites/default/files/webform/r2e002/1cff3287a06bf4dec786f296683eaec64462f67a.pdf,1cff3287a06bf4dec786f296683eaec64462f67a.pdf,documents/austria/r2e002/1cff3287a06bf4dec786f296683eaec64462f67a/document.pdf,documents/austria/r2e002/1cff3287a06bf4dec786f296683eaec64462f67a/document.md,fbf6b795a8cf90632d6192ea35b5bab7bb68ca0bb018d6db8e78b99b7718a838,026bf25f6b97c3dd4c7ec4918dfd9c57,163397,7,docling+structure-repair
Austria,AT,Law,Universities of Applied Sciences Studies Act - 1993,1993,https://media.unesco.org/sites/default/files/webform/r2e002/23435848b6fbe2f6a3ad902a592d4c08c540999d.pdf,23435848b6fbe2f6a3ad902a592d4c08c540999d.pdf,documents/austria/r2e002/23435848b6fbe2f6a3ad902a592d4c08c540999d/document.pdf,documents/austria/r2e002/23435848b6fbe2f6a3ad902a592d4c08c540999d/document.md,76d43d7502c0cd8a62bb1953e75d4d0f318ecd9532c21c1d5cdcc007aff36ee7,f57222a9e3c31987acee47ead1ce78fb,132112,20,docling+structure-repair
Austria,AT,Law,Union of Students Act - 1998,1998,https://media.unesco.org/sites/default/files/webform/r2e002/411d719295a490bc9cf4fffaa31acc31f06e6a88.pdf,411d719295a490bc9cf4fffaa31acc31f06e6a88.pdf,documents/austria/r2e002/411d719295a490bc9cf4fffaa31acc31f06e6a88/document.pdf,documents/austria/r2e002/411d719295a490bc9cf4fffaa31acc31f06e6a88/document.md,07fca8908cb162de531dd135892076421cc90204a68436e3e8c9b8f4d100e358,9bed0cb5a246cc5f056077dd43dc2749,48649,5,docling+structure-repair
