country,country_iso2,document_type,title,year,document_url,source_filename,path_pdf,path_md,sha256,md5,size_bytes,page_count,ocr_reader
India,IN,Law,The National Commission for Minority Educational Institutions Act - 2004,2004,https://media.unesco.org/sites/default/files/webform/r2e002/86c8b675e6cae02dd94d55fb441f77ea94340f49.pdf,86c8b675e6cae02dd94d55fb441f77ea94340f49.pdf,documents/india/r2e002/86c8b675e6cae02dd94d55fb441f77ea94340f49/document.pdf,documents/india/r2e002/86c8b675e6cae02dd94d55fb441f77ea94340f49/document.md,120ae81c473d21692877074714e9c2589822314cfc80f1f19df766b591eead48,dd630a752ead67c6043a1f33114d9004,650541,12,paddleocr
India,IN,Law,The Protection of children from Sexual Offences Act of 2012,2012,https://media.unesco.org/sites/default/files/webform/r2e002/9d6f6101a11a1a1fa1d6b0ecdc9f3331c450e99a.pdf,9d6f6101a11a1a1fa1d6b0ecdc9f3331c450e99a.pdf,documents/india/r2e002/9d6f6101a11a1a1fa1d6b0ecdc9f3331c450e99a/document.pdf,documents/india/r2e002/9d6f6101a11a1a1fa1d6b0ecdc9f3331c450e99a/document.md,a04b9f3f36fce4a2fcd9ce8b003f6d18aba07938e7fe9f2ed6e65f9f36497753,23f83153a71e4ced52e792321535f9d1,2814757,14,unstructured
India,IN,Law,Central Universities Act - 2009,2009,https://media.unesco.org/sites/default/files/webform/r2e002/ae42e29cf9fdf291eed9bfbf2228b13020432cc6.pdf,ae42e29cf9fdf291eed9bfbf2228b13020432cc6.pdf,documents/india/r2e002/ae42e29cf9fdf291eed9bfbf2228b13020432cc6/document.pdf,documents/india/r2e002/ae42e29cf9fdf291eed9bfbf2228b13020432cc6/document.md,9ba1c6a3a2234193419cbf8b093212b6b6140bcb650112e964a11e71a68a0603,74efa503ae8bedc980a2650b1f5da700,244113,33,docling+structure-repair
India,IN,Law,Indira Gandhi National Open University Act - 1985,1985,https://media.unesco.org/sites/default/files/webform/r2e002/b091aaab73a3842dd42594319c0fd3b5f4c63891.pdf,b091aaab73a3842dd42594319c0fd3b5f4c63891.pdf,documents/india/r2e002/b091aaab73a3842dd42594319c0fd3b5f4c63891/document.pdf,documents/india/r2e002/b091aaab73a3842dd42594319c0fd3b5f4c63891/document.md,5eaa410851137b5373d47b966d1eea0447245cc87a094c9709ce32b71251c40e,e84eb39e62b5b71ca2399fa1f8320af1,186050,52,docling+structure-repair
India,IN,Law,Right to Education Bill (draft) - 2005,2005,https://media.unesco.org/sites/default/files/webform/r2e002/c118ede83c5d036c971a2f3591a1a603336766b4.pdf,c118ede83c5d036c971a2f3591a1a603336766b4.pdf,documents/india/r2e002/c118ede83c5d036c971a2f3591a1a603336766b4/document.pdf,documents/india/r2e002/c118ede83c5d036c971a2f3591a1a603336766b4/document.md,96999201272706383021ba34bea2a28f1bb3b2a139276ff50a5a4c4be8a2d521,ee9429a6dd5477a1fb95bcc62f59c87b,124195,37,docling+structure-repair
Indonesia,ID,Programme/plan,Strategic Plan - 2005-2009,2009,https://media.unesco.org/sites/default/files/webform/r2e002/05cc067d79bb0244308a64594aef0dff99ce152a.pdf,05cc067d79bb0244308a64594aef0dff99ce152a.pdf,documents/indonesia/r2e002/05cc067d79bb0244308a64594aef0dff99ce152a/document.pdf,documents/indonesia/r2e002/05cc067d79bb0244308a64594aef0dff99ce152a/document.md,f0730a81c7651142a47a1fbed0fc44acf4e44b401f327f31b513daf8097aa8d8,2bd349b9e83434d792946161d5eab0ba,33332455,135,reducto
Indonesia,ID,Programme/plan,Indonesia's Education For All 2003-2015,2015,https://media.unesco.org/sites/default/files/webform/r2e002/21282059b717ee4e0e43b1bbfd34d2658790c89b.pdf,21282059b717ee4e0e43b1bbfd34d2658790c89b.pdf,documents/indonesia/r2e002/21282059b717ee4e0e43b1bbfd34d2658790c89b/document.pdf,documents/indonesia/r2e002/21282059b717ee4e0e43b1bbfd34d2658790c89b/document.md,b249c5565cd0a39e3e0080105c44c5c8661be52b978993bf143a56d0a577d919,0fa58cdfbed0627d047d40b93c031962,11162258,268,llamaparse
Iraq,IQ,Consultations,National Report submitted for the 10th Consultation on the 1960 Convention and Recommendation,1960,https://media.unesco.org/sites/default/files/webform/r2e002/iraq-10th-consultation-report-translated.pdf,iraq-10th-consultation-report-translated.pdf,documents/iraq/r2e002/iraq-10th-consultation-report-translated/document.pdf,documents/iraq/r2e002/iraq-10th-consultation-report-translated/document.md,8ad999a28eb3c58d9933d945e2d57975f9aa29a5f1f7e08c96bf02185f788589,4d60f58f14aba5c915383c55c641e740,201843,22,docling+structure-repair
Ireland,IE,Law,Education (Admission to school) Act 2018,2018,https://media.unesco.org/sites/default/files/webform/r2e002/125d93903ffa8c94f6f0d42f0e453ec32923f3e4.pdf,125d93903ffa8c94f6f0d42f0e453ec32923f3e4.pdf,documents/ireland/r2e002/125d93903ffa8c94f6f0d42f0e453ec32923f3e4/document.pdf,documents/ireland/r2e002/125d93903ffa8c94f6f0d42f0e453ec32923f3e4/document.md,6d0c5bbe1be031dc339990b913bc4cdade21b62e9ca9acccaacb0340520639c6,08ef1213c4bcca731d866ba9eaae3f0a,529499,50,docling+structure-repair
Ireland,IE,Law,Teaching Council Act - 2001,2001,https://media.unesco.org/sites/default/files/webform/r2e002/27bd915c9ef13e161cf0b853da6807846bf4b931.pdf,27bd915c9ef13e161cf0b853da6807846bf4b931.pdf,documents/ireland/r2e002/27bd915c9ef13e161cf0b853da6807846bf4b931/document.pdf,documents/ireland/r2e002/27bd915c9ef13e161cf0b853da6807846bf4b931/document.md,c6607f672dabcdeddb47e7ea622221d386131064344f462f5ea5c038b1f4208b,91e5d3434931fde24653bdfe97d30ff4,428014,43,docling+structure-repair
Ireland,IE,Law,Education for persons with special educational needs Act - 2004,2004,https://media.unesco.org/sites/default/files/webform/r2e002/3fc574db8f832f840ea3058ce4b5d406cd989d1b.pdf,3fc574db8f832f840ea3058ce4b5d406cd989d1b.pdf,documents/ireland/r2e002/3fc574db8f832f840ea3058ce4b5d406cd989d1b/document.pdf,documents/ireland/r2e002/3fc574db8f832f840ea3058ce4b5d406cd989d1b/document.md,1d4559b0ba742029d4b0bb29062e1dc5f918180004c354b1500a6025b9720639,284480b864051cbc51cb3032297be850,427427,40,docling+structure-repair
Ireland,IE,Law,Education (Welfare) Act - 2000,2000,https://media.unesco.org/sites/default/files/webform/r2e002/9cebe77a0501063f67ce1a47e3b820621898289c.pdf,9cebe77a0501063f67ce1a47e3b820621898289c.pdf,documents/ireland/r2e002/9cebe77a0501063f67ce1a47e3b820621898289c/document.pdf,documents/ireland/r2e002/9cebe77a0501063f67ce1a47e3b820621898289c/document.md,b3baa3657b6c7162083545c6209ecd94f8531c52a5b47c10ca8f991c9b363333,171dfaeb1ef8c638ade2eef3df695a55,105893,36,docling+structure-repair
Israel,IL,Law,Compulsory Education Law of 1949 as amended to 2016,2016,https://media.unesco.org/sites/default/files/webform/r2e002/835645112be09e8981c675797710707719f9f38c.pdf,835645112be09e8981c675797710707719f9f38c.pdf,documents/israel/r2e002/835645112be09e8981c675797710707719f9f38c/document.pdf,documents/israel/r2e002/835645112be09e8981c675797710707719f9f38c/document.md,8fd9b159ac715b025cd56ea4f8d03d8df8fa1f6c77681d8e2d8ccc5f62f47478,243aef34535944ed56e13f8205a63eb6,346749,34,docling+structure-repair
Israel,IL,Law,"Student Rights Law of 2017, as amended to 2018",2018,https://media.unesco.org/sites/default/files/webform/r2e002/f95dd97d5e6e03c045fe06ea82c1d55791cb71f4.pdf,f95dd97d5e6e03c045fe06ea82c1d55791cb71f4.pdf,documents/israel/r2e002/f95dd97d5e6e03c045fe06ea82c1d55791cb71f4/document.pdf,documents/israel/r2e002/f95dd97d5e6e03c045fe06ea82c1d55791cb71f4/document.md,d029db000b733535551110f7ae69d118e003b55f328f280e21818624f0bbe872,0a0925731aa136e8288ee2c06e98a64c,332811,31,docling+structure-repair
Italy,IT,Consultations,National Report submitted for the 11th Consultation on the 1960 Convention and Recommendation,1960,https://media.unesco.org/sites/default/files/webform/r2e002/italy-country-report-1960-conv-on-discrimination-in-edu.pdf,italy-country-report-1960-conv-on-discrimination-in-edu.pdf,documents/italy/r2e002/italy-country-report-1960-conv-on-discrimination-in-edu/document.pdf,documents/italy/r2e002/italy-country-report-1960-conv-on-discrimination-in-edu/document.md,30bda556c8766f08f1c2b5759bd406022326cce16e425627e0c8618c397fe713,a73a3e4ee35618ba0cd4380e8f1b95d1,852196,49,docling+structure-repair
